,ibns_20u,vgs_m1,name,type,time,OK
0,20.94554,0.6865487,tran_SchGtKttmmTtVt_29,Sch,Fri Dec 20 23:14:11 2024,True
1,20.92213,0.6858129,tran_SchGtKttmmTtVt_28,Sch,Fri Dec 20 23:14:10 2024,True
2,20.011879999999998,0.6847732,tran_SchGtKttmmTtVt_27,Sch,Fri Dec 20 23:14:10 2024,True
3,20.17674,0.6835217,tran_SchGtKttmmTtVt_26,Sch,Fri Dec 20 23:14:10 2024,True
4,21.08061,0.6859199,tran_SchGtKttmmTtVt_25,Sch,Fri Dec 20 23:14:10 2024,True
5,20.43233,0.6851049,tran_SchGtKttmmTtVt_24,Sch,Fri Dec 20 23:14:10 2024,True
6,20.28535,0.6869258,tran_SchGtKttmmTtVt_23,Sch,Fri Dec 20 23:14:09 2024,True
7,19.96978,0.6842688,tran_SchGtKttmmTtVt_22,Sch,Fri Dec 20 23:14:09 2024,True
8,19.29048,0.6820761,tran_SchGtKttmmTtVt_21,Sch,Fri Dec 20 23:14:09 2024,True
9,21.66498,0.688896,tran_SchGtKttmmTtVt_20,Sch,Fri Dec 20 23:14:09 2024,True
10,20.122580000000003,0.6838685,tran_SchGtKttmmTtVt_19,Sch,Fri Dec 20 23:14:09 2024,True
11,21.32688,0.6883073,tran_SchGtKttmmTtVt_18,Sch,Fri Dec 20 23:14:08 2024,True
12,19.88581,0.682104,tran_SchGtKttmmTtVt_17,Sch,Fri Dec 20 23:14:08 2024,True
13,20.085259999999998,0.6856002,tran_SchGtKttmmTtVt_16,Sch,Fri Dec 20 23:14:08 2024,True
14,21.05672,0.6874259,tran_SchGtKttmmTtVt_15,Sch,Fri Dec 20 23:14:08 2024,True
15,20.53227,0.6860429,tran_SchGtKttmmTtVt_14,Sch,Fri Dec 20 23:14:08 2024,True
16,21.23159,0.6865852,tran_SchGtKttmmTtVt_13,Sch,Fri Dec 20 23:14:07 2024,True
17,20.548759999999998,0.6870689,tran_SchGtKttmmTtVt_12,Sch,Fri Dec 20 23:14:07 2024,True
18,21.52514,0.6889846,tran_SchGtKttmmTtVt_11,Sch,Fri Dec 20 23:14:07 2024,True
19,21.55104,0.6892939,tran_SchGtKttmmTtVt_10,Sch,Fri Dec 20 23:14:07 2024,True
20,20.27454,0.6863905,tran_SchGtKttmmTtVt_9,Sch,Fri Dec 20 23:14:07 2024,True
21,18.88695,0.6814433,tran_SchGtKttmmTtVt_8,Sch,Fri Dec 20 23:14:06 2024,True
22,20.7544,0.6856779,tran_SchGtKttmmTtVt_7,Sch,Fri Dec 20 23:14:06 2024,True
23,20.92858,0.6871356,tran_SchGtKttmmTtVt_6,Sch,Fri Dec 20 23:14:06 2024,True
24,21.24221,0.6871565,tran_SchGtKttmmTtVt_5,Sch,Fri Dec 20 23:14:06 2024,True
25,20.20997,0.6855839,tran_SchGtKttmmTtVt_4,Sch,Fri Dec 20 23:14:06 2024,True
26,22.48413,0.6913311,tran_SchGtKttmmTtVt_3,Sch,Fri Dec 20 23:14:05 2024,True
27,21.27952,0.6880216,tran_SchGtKttmmTtVt_2,Sch,Fri Dec 20 23:14:05 2024,True
28,20.46178,0.6843243,tran_SchGtKttmmTtVt_1,Sch,Fri Dec 20 23:14:05 2024,True
29,21.28828,0.6891276,tran_SchGtKttmmTtVt,Sch,Fri Dec 20 23:14:04 2024,True
